stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,seed,fidelity_median,fidelity_iqr,abs_delta_median,edges_selected_median,feats_selected_median,runtime_sec,n_nodes_evaluated,n_nodes_requested,n_failures,error_top_reason,error_top_count,error_first_message,fallback_model_target_count
A,0.001,1.0,1e-12,1e-12,0.01,150,3,0.02629006188362837,0.7862630607560277,0.023469646461308002,7.0,13.0,63.73046669992618,30,30,0,,0,,0
A,0.001,1.0,1e-12,1e-12,0.01,150,4,0.046511704102158546,0.49283321434631944,0.046511704102158546,7.0,12.0,63.59463429998141,30,30,0,,0,,0
A,0.01,1e-06,1e-12,1e-12,0.01,150,0,0.029562216252088547,0.7086960882879794,0.02762266807258129,1.0,12.0,63.66264620004222,30,30,0,,0,,0
A,0.01,1e-06,1e-12,1e-12,0.01,150,1,0.04215160571038723,0.772380062378943,0.029824577271938324,1.0,12.0,63.9480893999571,30,30,0,,0,,0
A,0.01,1e-06,1e-12,1e-12,0.01,150,2,0.04204060882329941,0.47992111928761005,0.03667895868420601,1.0,12.5,63.81244659994263,30,30,0,,0,,0
A,0.01,1e-06,1e-12,1e-12,0.01,150,3,0.037524652667343616,0.5021139308810234,0.02886280883103609,1.0,13.0,63.26201489998493,30,30,0,,0,,0
A,0.01,1e-06,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.5365456193685532,0.0468129888176918,1.0,12.0,65.31799480004702,30,30,0,,0,,0
A,0.01,1e-05,1e-12,1e-12,0.01,150,0,0.029562216252088547,0.7086960882879794,0.02762266807258129,1.0,12.0,60.19328669994138,30,30,0,,0,,0
A,0.01,1e-05,1e-12,1e-12,0.01,150,1,0.04215160571038723,0.772380062378943,0.029824577271938324,1.0,12.0,53.7562868000241,30,30,0,,0,,0
A,0.01,1e-05,1e-12,1e-12,0.01,150,2,0.04204060882329941,0.47992111928761005,0.03667895868420601,1.0,12.5,51.932257600012235,30,30,0,,0,,0
A,0.01,1e-05,1e-12,1e-12,0.01,150,3,0.037524652667343616,0.5021139308810234,0.02886280883103609,1.0,13.0,59.989510900108144,30,30,0,,0,,0
A,0.01,1e-05,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.5365456193685532,0.0468129888176918,1.0,12.0,68.72217419999652,30,30,0,,0,,0
A,0.01,0.0001,1e-12,1e-12,0.01,150,0,0.029562216252088547,0.7086960882879794,0.02762266807258129,1.0,12.0,67.66935600002762,30,30,0,,0,,0
A,0.01,0.0001,1e-12,1e-12,0.01,150,1,0.04215160571038723,0.772380062378943,0.029824577271938324,1.0,12.0,60.259088000049815,30,30,0,,0,,0
A,0.01,0.0001,1e-12,1e-12,0.01,150,2,0.04204060882329941,0.47992111928761005,0.03667895868420601,1.0,12.5,60.93136259994935,30,30,0,,0,,0
A,0.01,0.0001,1e-12,1e-12,0.01,150,3,0.037524652667343616,0.5021139308810234,0.02886280883103609,1.0,13.0,53.430135200032964,30,30,0,,0,,0
A,0.01,0.0001,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.5365456193685532,0.0468129888176918,1.0,12.0,54.179328799946234,30,30,0,,0,,0
A,0.01,0.001,1e-12,1e-12,0.01,150,0,0.029562216252088547,0.7086960882879794,0.02762266807258129,1.0,12.0,53.17870730010327,30,30,0,,0,,0
