stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,graph_idx,node_type,node_idx,target_value,seed_runs,feature_mask_var_mean,edge_mask_var_mean,mask_var_mean
A,0.01,1e-05,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0021140773176505927,0.006430144697618055,0.004272111007634324
A,0.01,1e-06,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0021140905048257076,0.0064312221558993875,0.004272656330362548
A,0.0001,1e-06,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.006144520849591307,0.0027925696754212484,0.004468545262506278
A,0.0001,1e-05,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.006144407318554618,0.002836501076022273,0.004490454197288446
A,0.0001,1e-06,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.00648429963970879,0.002572087119593363,0.004528193379651076
A,0.0001,1e-05,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.00648372491911679,0.002612101240460589,0.004547913079788689
A,1e-06,1e-06,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.006407187030587143,0.002817205087765445,0.004612196059176294
A,1e-05,1e-06,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.00639834841566239,0.002832702460809884,0.004615525438236137
A,1e-06,1e-05,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.006403093206394033,0.002860449828324789,0.004631771517359411
A,1e-05,1e-05,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.006395906213402904,0.0028796118657463407,0.004637759039574622
A,0.1,0.01,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,1.836442484857619e-05,0.009442158476924796,0.004730261450886686
A,0.0001,0.0001,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.006469941874799543,0.0030094461206314803,0.0047396939977155115
A,0.001,0.001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0021485956667991247,0.007355175597255422,0.004751885632027273
A,0.0001,0.0001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.006157637424120689,0.0034049744124691013,0.004781305918294895
A,1e-05,0.0001,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.006393176949778435,0.003210120727939909,0.004801648838859172
A,0.1,0.1,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,1.737700597477566e-05,0.009693948601584115,0.004855662803779445
A,1e-05,1e-06,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.006406648051084513,0.0037441277491549836,0.0050753879001197485
A,1e-05,1e-05,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.006410838553985105,0.0037880867867687586,0.005099462670376932
A,1e-06,1e-06,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0064188856914198225,0.0038087931941400656,0.005113839442779944
A,1e-06,1e-05,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.00642343402654599,0.003849239619197747,0.005136336822871868
A,1e-05,0.0001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.006443460545054354,0.004266616758257058,0.005355038651655706
A,1e-06,0.0001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.006451600653596304,0.004305465943686642,0.005378533298641473
A,1e-06,0.001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,0.00019261464342544302,0.012429964573112429,0.006311289608268936
A,1e-05,0.001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,0.00018748286501093936,0.012687708065110853,0.006437595465060896
A,1e-06,0.0001,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.010038920642766293,0.0032545418362578,0.006646731239512047
A,0.0001,0.001,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.00656465254055877,0.006892265849360797,0.0067284591949597836
A,1e-06,0.001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.00630153290596713,0.008695952354782294,0.007498742630374712
A,1e-05,0.001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.006253575050624831,0.008918639409813096,0.007586107230218964
A,0.0001,0.001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.006082482939089431,0.009140934138057303,0.007611708538573367
A,0.01,0.01,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009102243703807808,0.0065372244571610776,0.007819734080484444
A,0.1,0.1,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009129980878111043,0.006517981004161361,0.007823980941136201
A,0.001,0.001,1e-12,1e-12,0.01,150,640,H,4,-0.03988323733210564,5,0.015430429633380018,0.0008549281390489494,0.008142678886214484
A,0.1,0.01,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009090846795900968,0.007515109402228326,0.008302978099064648
A,0.1,0.0001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009107973309931473,0.007640199827454584,0.00837408656869303
A,0.1,1e-05,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009107412510358006,0.007641350292927288,0.008374381401642646
A,0.1,1e-06,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009107413803358565,0.007641467205686982,0.008374440504522775
A,0.1,0.001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009120458416459093,0.007628714633883185,0.008374586525171139
A,0.01,0.001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009157446622064714,0.007820725171505762,0.008489085896785237
A,0.01,1e-05,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009111338992465173,0.00799108499767634,0.008551211995070756
A,0.01,1e-06,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009113853274112432,0.007993535911187255,0.008553694592649843
A,0.01,0.0001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.009130390363236152,0.007977064864524345,0.00855372761388025
A,0.0001,0.001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,0.0003178684799483259,0.0170166643299855,0.008667266404966914
