graph_idx,compound,target_node_type,node_idx,feature_source_type,feature_idx,feature_importance_mean,feature_variance
0,1,C,1,C,34,0.37856596291065214,0.0007175713547326147
0,1,C,1,C,35,0.5234548860788345,0.0002334695252383254
0,1,C,1,C,36,0.4908873334527016,0.00031621674957022167
0,1,C,1,C,37,0.6275236630439759,0.0017604627720473603
0,1,C,1,C,38,0.5836632966995239,0.0004158928592704961
0,1,C,2,H,0,0.3174515888094902,0.00014035205580897918
0,1,C,2,H,1,0.0,0.0
0,1,C,2,H,2,0.0,0.0
0,1,C,2,H,3,0.0,0.0
0,1,C,2,H,4,0.0,0.0
0,1,C,2,H,5,0.0,0.0
0,1,C,2,H,6,0.0,0.0
0,1,C,2,H,7,0.0,0.0
0,1,C,2,H,8,0.0,0.0
0,1,C,2,H,9,0.0,0.0
0,1,C,2,H,10,0.0,0.0
0,1,C,2,H,11,0.0,0.0
0,1,C,2,H,12,0.0,0.0
0,1,C,2,H,13,0.1429832898080349,7.82208235024346e-06
0,1,C,2,H,14,0.0,0.0
0,1,C,2,H,15,0.15762366279959678,7.592632699490808e-06
0,1,C,2,H,16,0.3055870811144511,0.00014650669043162466
0,1,C,2,H,17,0.34895091007153195,0.0006855470122220546
0,1,C,2,H,18,0.2709406892458598,0.0009090427456318864
0,1,C,2,H,19,0.32082348813613254,0.0001439899769305738
0,1,C,2,H,20,0.176995953420798,8.874874147333641e-05
0,1,C,2,H,21,0.16811827396353085,0.0005247982676587358
0,1,C,2,H,22,0.16310922652482984,3.4234740716311635e-05
0,1,C,2,H,23,0.22959528416395186,0.00020434886661822865
0,1,C,2,H,24,0.2873209185898304,0.0004498501396924067
0,1,C,2,H,25,0.1742814804116885,1.736080105153704e-05
0,1,C,2,H,26,0.21665200715263686,8.409617350736665e-05
0,1,C,2,H,27,0.2519788458943367,0.00015197378487126105
0,1,C,2,H,28,0.16285416732231778,7.315100135368203e-06
0,1,C,2,H,29,0.32691397070884703,0.00010764322757744705
0,1,C,2,H,30,0.15510979915658632,6.612639129599407e-05
0,1,C,2,H,31,0.15987121909856797,7.300617843701981e-05
0,1,C,2,H,32,0.17378601978222527,3.0640126740209776e-05
0,1,C,2,C,0,0.0,0.0
0,1,C,2,C,1,0.2537981331348419,0.00029602984666893685
0,1,C,2,C,2,0.0,0.0
0,1,C,2,C,3,0.0,0.0
0,1,C,2,C,4,0.0,0.0
0,1,C,2,C,5,0.0,0.0
0,1,C,2,C,6,0.0,0.0
0,1,C,2,C,7,0.0,0.0
0,1,C,2,C,8,0.0,0.0
0,1,C,2,C,9,0.0,0.0
0,1,C,2,C,10,0.0,0.0
0,1,C,2,C,11,0.0,0.0
0,1,C,2,C,12,0.0,0.0
0,1,C,2,C,13,0.3178931677341461,0.0005049989015542005
0,1,C,2,C,14,0.0,0.0
0,1,C,2,C,15,0.5229532504081726,0.00016919332186783207
0,1,C,2,C,16,0.43535566419363025,0.0006035065059142107
0,1,C,2,C,17,0.531194959282875,0.0005237978025082744
0,1,C,2,C,18,0.38194221675395973,0.00026137614312307113
0,1,C,2,C,19,0.5317267507314682,0.0017106806933578293
0,1,C,2,C,20,0.4223271298408508,0.0013332336978338713
0,1,C,2,C,21,0.37480895638465883,0.00027183150673372805
0,1,C,2,C,22,0.4555485063791275,0.00014130220686947378
0,1,C,2,C,23,0.46259045064449306,5.4140988846034197e-05
0,1,C,2,C,24,0.35742372512817383,0.00040950018140325486
0,1,C,2,C,25,0.5374415445327758,0.0009758649987200652
0,1,C,2,C,26,0.543285425901413,0.0002683812775010897
0,1,C,2,C,27,0.26756549656391143,0.00023522203231268672
0,1,C,2,C,28,0.4099099850654603,0.00027712960293945843
0,1,C,2,C,29,0.22158329367637633,6.177139037879303e-05
0,1,C,2,C,30,0.5550159347057343,0.000815333962131214
0,1,C,2,C,31,0.42483243703842166,0.0014709186974161887
0,1,C,2,C,32,0.6119187831878662,0.00012547242725749556
0,1,C,2,C,33,0.4601978474855423,0.0002984902213435004
