target_node_type, feature_source_type, feature_idx, feature_importance_mean, feature_importance_median, feature_importance_std, feature_variance_mean , feature_variance_median, feature_variance_std  , n_node_entries, feature_name     , feature_label
C               , C                  ,          38,     0.24585862137550046,       0.21930578621725239,   0.10650031290509417 , 0.00036065334636087076, 0.00012323562473692037 , 0.000723229899003707  ,            308, mayer_VA         , C:mayer_VA
C               , C                  ,          13,     0.23065300239391748,       0.19759089847405753,   0.09559523753559147 , 0.00035012952296309136, 0.00010071414865059398 , 0.0010959456190908    ,            308, mass             , C:mass
C               , H                  ,          17,     0.22687885593944274,       0.18792655915021897,   0.12460215768283128 , 0.0003257549074009296 , 8.227616510897534e-05  , 0.0007595335581616025 ,            308, CN(X)            , H:CN(X)
C               , H                  ,          23,     0.21812768000896574,       0.18086540207266805,   0.11588153882541959 , 0.0003971578472327133 , 8.68421081252851e-05   , 0.0011742174820951372 ,            308, anisotropy       , H:anisotropy
C               , H                  ,          25,     0.21732334193024475,       0.1758994765654959 ,   0.12717526416413186 , 0.000293761485368487  , 4.754642021928973e-05  , 0.0007413911391513843 ,            308, at_charge_loew   , H:at_charge_loew
C               , H                  ,          20,     0.21035812342221658,       0.17336194117863973,   0.1186888217946236  , 0.0005136803185482276 , 6.00007204666393e-05   , 0.003166329885135028  ,            308, span             , H:span
C               , H                  ,          27,     0.20664755616104427,       0.16948358807712793,   0.10273719875169644 , 0.00027881586354611625, 5.307709191424903e-05  , 0.000848988421524277  ,            308, orb_charge_mull_p, H:orb_charge_mull_p
C               , H                  ,          24,     0.19161123142890749,       0.1644367137302955 ,   0.10228229665297532 , 0.000306490749249852  , 4.7957644687672755e-05 , 0.001277913646745242  ,            308, at_charge_mull   , H:at_charge_mull
C               , H                  ,          29,     0.18897471755421888,       0.1588070144566397 ,   0.09950761690856434 , 0.0002500822707977201 , 3.3319455755030446e-05 , 0.0011445652862875628 ,            308, orb_charge_loew_p, H:orb_charge_loew_p
C               , H                  ,          21,     0.18709503157521193,       0.1616674266046002 ,   0.08886551233726878 , 0.00020923886716313992, 4.83746210871662e-05   , 0.0005449889549108423 ,            308, skew             , H:skew
C               , H                  ,          22,     0.18129496168607204,       0.15976627096533774,   0.07888428884727407 , 0.0002291967730420562 , 5.911208143438961e-05  , 0.0005441237106487482 ,            308, asymmetry        , H:asymmetry
C               , H                  ,          32,     0.176645201094911  ,       0.16050745511427522,   0.07554056391779046 , 0.00012544736015395865, 3.625110556235752e-05  , 0.00034736905379380805,            308, mayer_VA         , H:mayer_VA
C               , H                  ,          26,     0.1712490007858037 ,       0.14463445773348213,   0.1045319108502292  , 0.00027247479274254043, 2.855989352540961e-05  , 0.0009582704658364445 ,            308, orb_charge_mull_s, H:orb_charge_mull_s
C               , H                  ,          18,     0.15825026899085123,       0.14560329978664716,   0.06551838674732581 , 0.00014705237754845482, 2.0360886498607393e-05 , 0.000455597954752     ,            308, shielding_dia    , H:shielding_dia
C               , H                  ,          28,     0.1559744874163166 ,       0.1454119459167123 ,   0.07687472958979924 , 0.00011307800316185586, 2.4802699772610474e-05 , 0.0002380665190695841 ,            308, orb_charge_loew_s, H:orb_charge_loew_s
